  2.96  2.90 -0.24 -0.24
  2.79  2.27  1.06  1.10
  3.79  3.57  0.18  0.20
  2.37  2.51  0.44  0.44
  3.03  3.96  0.60  0.64
  1.47  2.94  0.23  0.30
  3.62  1.97  0.49  0.51
  3.43  2.47 -0.30 -0.25
  1.62  1.89  0.37  0.40
  3.93  3.65  0.64  0.69
  2.23  2.21 -0.52 -0.45
  3.60  1.97  0.55  0.56
  2.22  4.62  0.40  0.42
  2.67  4.46  0.25  0.34
  1.49  1.31  0.61  0.70
  4.03  2.68 -0.43 -0.35
  1.97  1.82 -0.19 -0.15
  0.29  3.44 -1.79 -1.69
  3.80  2.15  0.24  0.30
  3.31  3.80  1.26  1.31
  2.93  2.53 -0.08 -0.03
  2.07  4.75  0.18  0.23
  2.10  3.74  0.07  0.14
  3.34  3.63 -0.42 -0.35
  2.43  1.25 -1.10 -1.06
  3.45  0.60 -0.34 -0.32
  3.20  1.72  0.36  0.39
  4.25  1.69  0.03  0.06
  4.89  4.45  0.51  0.60
  3.52  4.18 -0.43 -0.42
  5.30  4.05 -0.65 -0.58
  2.23  4.66  0.11  0.17
  2.16  2.08 -0.71 -0.68
  2.40  3.10 -0.26 -0.18
  3.33  2.72  1.22  1.28
  5.65  3.18 -0.07  0.02
  2.90  4.31  0.35  0.41
  2.19  2.25  0.08  0.14
  1.48  3.24 -0.07 -0.05
  2.52  2.62 -0.49 -0.40
  3.84  2.95 -0.45 -0.38
  4.22  2.41 -1.36 -1.28
  2.32  1.80 -1.25 -1.23
  4.21  4.04  0.16  0.26
  2.29  3.52  0.31  0.34
  4.47  1.87 -1.07 -1.01
  1.64  0.09 -0.48 -0.46
  2.90  2.19 -0.55 -0.52
  3.07  0.82 -1.12 -1.02
  3.79  2.21 -2.22 -2.18
  2.83  2.02  0.64  0.70
  3.85  3.70 -1.85 -1.75
  3.27  3.76  0.02  0.11
  2.67  3.83 -0.43 -0.43
  2.52  2.54  1.60  1.62
  1.70  0.71 -0.98 -0.97
  2.37  4.36 -0.03  0.05
  3.53  3.66 -1.30 -1.26
  2.48  2.21 -0.79 -0.78
  4.41  4.03 -0.38 -0.33
  2.10  4.16  0.38  0.46
  3.39  3.18  1.21  1.24
  3.05  2.51 -0.44 -0.38
  3.58  3.41 -1.04 -1.01
  2.78  2.63  1.64  1.69
  3.96  4.77  1.43  1.45
  2.08  3.55  1.36  1.45
  3.02  1.68  1.44  1.50
  4.91  3.69  1.76  1.86
  1.80  2.88  0.76  0.81
  4.80  3.35 -2.85 -2.85
