    171.0   148.4
    182.4   156.0
    160.0   164.0
    182.7   172.4
    120.8   181.3
    169.1   190.6
    112.3   200.3
    118.8   210.6
    111.4   221.4
    113.5   232.8
     89.1   244.7
    123.1   257.2
     84.6   270.4
     73.7   284.3
     58.5   298.9
     90.5   314.2
     75.0   330.3
     86.0   347.2
     88.7   365.0
     63.1   383.8
     53.3   403.4
     62.0   424.1
     59.2   445.9
     38.3   468.7
     53.1   492.7
     48.8   518.0
     41.1   544.6
     52.9   572.5
     70.3   601.8
     49.4   632.7
     30.4   665.1
     59.5   699.2
     43.0   735.1
     43.9   772.8
     34.4   812.4
     21.1   854.1
     33.4   897.8
     40.6   943.9
     27.8   992.3
     45.0  1043.1
     28.1  1096.6
